# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon May 21 15:52:05 2018
#
# CONSTRAINT:  where (pl_orbsmax <= 0.2
# CONSTRAINT:  )
# CONSTRAINT:  order by pl_orbsmax desc
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
1020,K2-74,b,Transit,1,19.56660000,0.00330000,-0.00330000,0,0.140200,0.001500,-0.001500,0,,,,,,,,,,,,,,0.206,0.017,-0.017,0,,,,,0,0,1,0,22h39m40.64s,339.919342,-08d42m52.2s,-8.714505,,,,,12.588,0.031,0,V (Johnson),,,,6060.00,86.00,-86.00,0,0.96,0.03,-0.03,0,0.98,0.06,-0.06,0,2016-07-18,K2
3282,Kepler-9,b,Transit,3,19.24000000,,,0,0.140000,0.001000,-0.001000,0,0.150000,,,0,,,,,0.25200,0.01300,-0.01300,0,Mass,0.842,0.069,-0.069,0,0.52400,0.13200,-0.13200,0,1,1,0,1,19h02m17.76s,285.573981,+38d24m03.2s,38.400892,650.00,,,0,13.803,,0,Kepler-band,,,,5777.00,61.00,-61.00,0,1.07,0.05,-0.05,0,1.02,0.05,-0.05,0,2014-05-14,Kepler
2547,Kepler-370,c,Transit,2,19.02293000,0.00017700,-0.00017700,0,0.140000,,,0,,,,,,,,,,,,,,0.170,0.079,-0.079,0,,,,,0,1,0,1,19h28m41.07s,292.171121,+40d54m58.7s,40.916306,,,,,15.198,,0,Kepler-band,,,,5852.00,200.00,-200.00,0,0.94,,,0,0.90,0.42,-0.42,0,2014-05-14,Kepler
2317,Kepler-288,c,Transit,3,19.30577200,0.00013500,-0.00013500,0,0.140000,,,0,,,,,,,,,,,,,,0.254,0.121,-0.121,0,,,,,0,1,0,1,19h15m39.94s,288.916426,+39d35m41.0s,39.594717,,,,,15.151,,0,Kepler-band,,,,5918.00,250.00,-250.00,0,0.89,,,0,1.09,0.52,-0.52,0,2014-05-14,Kepler
2202,Kepler-247,d,Transit,3,20.47791200,0.00002600,-0.00002600,0,0.140000,,,0,,,,,,,,,,,,,,0.352,0.098,-0.098,0,,,,,1,1,0,1,19h14m34.21s,288.642531,+43d02m21.4s,43.039291,,,,,15.067,,0,Kepler-band,,,,5100.00,200.00,-200.00,0,,,,,0.77,0.21,-0.21,0,2014-05-14,Kepler
2193,Kepler-244,d,Transit,3,20.05040100,0.00013000,-0.00013000,0,0.140000,,,0,,,,,,,,,,,,,,0.206,0.087,-0.087,0,,,,,0,1,0,1,19h08m58.24s,287.242680,+42d18m04.9s,42.301369,,,,,15.604,,0,Kepler-band,,,,5554.00,200.00,-200.00,0,,,,,0.80,0.34,-0.34,0,2014-05-14,Kepler
657,HD 6434,b,Radial Velocity,1,21.99800000,0.00900000,-0.00900000,0,0.140000,0.000000,0.000000,0,0.170000,0.030000,-0.030000,0,,,,0,0.49000,0.04000,-0.04000,0,Mass,,,,0,,,,0,0,0,0,0,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,40.32,1.40,-1.50,0,7.710,0.120,0,V (Johnson),7.528,,0,5769.00,14.00,-14.00,0,1.10,0.13,-0.13,0,1.12,0.01,-0.01,0,2018-04-26,La Silla Observatory
480,HD 195019,b,Radial Velocity,1,18.20132000,0.00039000,-0.00039000,0,0.140000,0.000000,0.000000,0,0.010000,0.000000,0.000000,0,,,,0,3.98000,0.17000,-0.17000,0,Mass,,,,0,,,,0,0,0,0,0,20h28m18.63s,307.077637,+18d46m10.2s,18.769497,37.35,1.20,-1.28,0,6.870,,0,V (Johnson),6.692,,0,5751.00,21.00,-21.00,0,1.21,0.08,-0.08,0,1.48,0.03,-0.03,0,2018-04-26,Lick Observatory
421,HD 16417,b,Radial Velocity,1,17.24000000,0.01000000,-0.01000000,0,0.140000,0.010000,-0.010000,0,0.200000,0.090000,-0.090000,0,,,,,0.06960,0.00630,-0.00630,0,Msini,,,,,,,,,0,0,0,1,02h36m58.61s,39.244198,-34d34m40.7s,-34.577976,25.54,0.41,-0.42,0,5.780,,0,V (Johnson),,,,,,,,1.20,,,0,,,,,2014-05-14,Anglo-Australian Telescope
965,K2-32,c,Transit,3,20.66020000,0.00170000,-0.00170000,0,0.139900,0.001500,-0.001500,0,0.000000,,,0,,,,,0.03807,,,1,Mass,0.269,0.022,-0.022,0,2.70000,,,1,0,0,1,0,16h49m42.26s,252.426086,-19d32m34.2s,-19.542822,,,,,12.310,0.020,0,V (Johnson),,,,5275.00,60.00,-60.00,0,0.86,0.03,-0.03,0,0.84,0.04,-0.04,0,2017-02-09,K2
960,K2-3,c,Transit,3,24.64354000,0.00117000,-0.00117000,0,0.139900,0.007000,-0.007000,0,,,,,89.120,0.620,-0.860,0,,,,,,0.165,0.024,-0.024,0,,,,,0,0,1,1,11h29m20.39s,172.334946,-01d27m17.2s,-1.454787,,,,,12.170,0.010,0,V (Johnson),,,,3896.00,189.00,-189.00,0,0.60,0.09,-0.09,0,0.56,0.07,-0.07,0,2016-07-07,K2
2065,Kepler-20,f,Transit,6,19.57758478,0.00009037,-0.00012256,0,0.139600,0.003600,-0.003500,0,,,,,88.788,0.426,-0.072,0,,,,,,0.089,0.004,-0.008,0,,,,,0,1,0,1,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290.00,30.00,-30.00,0,12.510,,0,V (Johnson),,,,5495.00,50.00,-50.00,0,0.95,0.05,-0.05,0,0.96,0.02,-0.02,0,2017-03-30,Kepler
2225,Kepler-254,d,Transit,3,18.74647700,0.00012100,-0.00012100,0,0.139000,,,0,,,,,,,,,,,,,,0.223,0.106,-0.106,0,,,,,0,1,0,1,19h12m39.53s,288.164701,+45d48m59.4s,45.816504,,,,,15.843,,0,Kepler-band,,,,5957.00,200.00,-200.00,0,,,,,0.91,0.43,-0.43,0,2014-05-14,Kepler
2020,Kepler-185,c,Transit,2,20.72904200,0.00009700,-0.00009700,0,0.139000,,,0,,,,,,,,,,,,,,0.180,0.104,-0.104,0,,,,,0,1,0,1,18h49m52.34s,282.468103,+43d53m23.7s,43.889915,,,,,14.458,,0,Kepler-band,,,,5208.00,200.00,-200.00,0,0.79,,,0,0.81,0.46,-0.46,0,2014-05-14,Kepler
984,K2-46,b,Transit,1,19.15410000,0.00410000,-0.00410000,0,0.138210,0.000960,-0.000960,0,,,,,,,,,,,,,,0.183,0.021,-0.021,0,,,,,0,0,1,0,11h37m03.92s,174.266342,-00d54m26.1s,-0.907261,,,,,12.029,0.020,0,V (Johnson),,,,6256.00,37.00,-37.00,0,0.96,0.02,-0.02,0,1.29,0.12,-0.12,0,2016-07-18,K2
2490,Kepler-348,c,Transit,2,17.26542700,0.00017900,-0.00017900,0,0.138000,,,0,,,,,,,,,,,,,,0.119,0.022,-0.022,0,,,,,0,1,0,1,19h49m01.21s,297.255050,+40d32m54.1s,40.548373,,,,,12.556,,0,Kepler-band,,,,6177.00,100.00,-100.00,0,1.15,,,0,1.36,0.25,-0.25,0,2014-05-14,Kepler
2182,Kepler-24,e,Transit,4,18.99835500,0.00015700,-0.00015700,0,0.138000,,,0,,,,,,,,,,,,,,0.248,0.057,-0.057,0,,,,,0,1,0,1,19h21m39.18s,290.413267,+38d20m37.5s,38.343754,1200.00,,,0,14.925,,0,Kepler-band,,,,5897.00,219.00,-219.00,0,1.03,0.11,-0.14,0,1.29,0.29,-0.29,0,2014-05-14,Kepler
2050,Kepler-196,b,Transit,2,20.73988600,0.00006600,-0.00006600,0,0.138000,,,0,,,,,,,,,,,,,,0.170,0.013,-0.013,0,,,,,0,1,0,1,18h59m52.44s,284.968519,+42d04m45.1s,42.079205,,,,,14.157,,0,Kepler-band,,,,5128.00,100.00,-100.00,0,,,,,0.78,0.06,-0.06,0,2014-05-14,Kepler
2533,Kepler-365,c,Transit,2,17.78412900,0.00021500,-0.00021500,0,0.137000,,,0,,,,,,,,,,,,,,0.146,0.069,-0.069,0,,,,,0,1,0,1,19h42m30.38s,295.626598,+49d07m49.6s,49.130436,,,,,14.651,,0,Kepler-band,,,,6012.00,200.00,-200.00,0,0.99,,,0,1.05,0.49,-0.49,0,2014-05-14,Kepler
2031,Kepler-189,c,Transit,2,20.13486600,0.00005700,-0.00005700,0,0.137000,,,0,,,,,,,,,,,,,,0.212,0.106,-0.106,0,,,,,0,1,0,1,19h10m15.54s,287.564731,+44d18m18.0s,44.305004,,,,,14.859,,0,Kepler-band,,,,5235.00,200.00,-200.00,0,0.79,,,0,0.75,0.38,-0.38,0,2014-05-14,Kepler
1918,Kepler-162,c,Transit,2,19.44635500,0.00004500,-0.00004500,0,0.137000,,,0,,,,,,,,,,,,,,0.270,0.145,-0.145,0,,,,,0,1,0,1,19h49m06.94s,297.278910,+43d43m26.5s,43.724018,,,,,14.248,,0,Kepler-band,,,,5816.00,200.00,-200.00,0,,,,,0.96,0.51,-0.51,0,2014-05-14,Kepler
788,K2-115,b,Transit,1,20.27303400,0.00003600,-0.00003700,0,0.136700,0.001200,-0.001000,0,0.137000,0.072000,-0.074000,0,88.820,0.150,-0.150,0,0.84000,0.18000,-0.20000,0,Mass,1.115,0.057,-0.061,0,0.82000,0.30000,-0.24000,0,0,0,1,0,08h26m12.83s,126.553444,+12d16m55.0s,12.281936,,,,,13.362,0.010,0,V (Johnson),,,,5560.00,56.00,-58.00,0,0.83,0.02,-0.02,0,0.88,0.05,-0.05,0,2017-09-28,K2
2348,Kepler-298,c,Transit,3,22.92881000,0.00038000,-0.00038000,0,0.136000,,,0,,,,,,,,,,,,,,0.172,0.020,-0.020,0,,,,,0,1,0,1,18h52m09.55s,283.039792,+48d49m31.3s,48.825359,,,,,15.415,,0,Kepler-band,,,,4465.00,100.00,-100.00,0,0.65,,,0,0.58,0.03,-0.03,0,2014-05-14,Kepler
2108,Kepler-216,c,Transit,2,17.40666900,0.00005700,-0.00005700,0,0.136000,,,0,,,,,,,,,,,,,,0.271,0.053,-0.053,0,,,,,0,1,0,1,19h34m54.74s,293.728072,+46d07m45.0s,46.129154,,,,,13.998,,0,Kepler-band,,,,6091.00,120.00,-120.00,0,,,,,1.26,0.24,-0.24,0,2014-05-14,Kepler
1527,Kepler-132,d,Transit,4,18.01019900,0.00006700,-0.00006700,0,0.136000,,,0,,,,,,,,,,,,,,0.138,0.027,-0.027,0,,,,,0,1,0,1,18h52m56.59s,283.235810,+41d20m34.9s,41.343037,,,,,11.818,,0,Kepler-band,,,,6003.00,146.00,-146.00,0,,,,,1.18,0.23,-0.23,0,2014-05-14,Kepler
999,K2-59,b,Transit,2,20.69210000,0.00330000,-0.00330000,0,0.135400,0.004300,-0.004300,0,,,,,,,,,,,,,,0.215,0.028,-0.028,0,,,,,0,0,1,0,22h35m46.16s,338.942352,-14d01m39.9s,-14.027745,,,,,14.226,0.030,0,V (Johnson),,,,5055.00,93.00,-93.00,0,0.77,0.07,-0.07,0,0.73,0.07,-0.07,0,2016-07-18,K2
2982,Kepler-66,b,Transit,1,17.81581500,0.00007500,-0.00007500,0,0.135200,0.001700,-0.001700,0,,,,,,,,,,,,,,0.250,0.014,-0.014,0,,,,,0,1,0,1,19h35m55.58s,293.981569,+46d41m15.9s,46.687748,1107.00,90.00,-90.00,0,15.300,,0,V (Johnson),,,,5962.00,79.00,-79.00,0,1.04,0.04,-0.04,0,0.97,0.04,-0.04,0,2014-05-14,Kepler
2450,Kepler-333,c,Transit,2,24.08821000,0.00020700,-0.00020700,0,0.135000,,,0,,,,,,,,,,,,,,0.099,0.018,-0.018,0,,,,,0,1,0,1,19h29m08.66s,292.286069,+40d54m48.9s,40.913584,,,,,14.731,,0,Kepler-band,,,,4259.00,200.00,-200.00,0,0.54,,,0,0.53,0.05,-0.05,0,2014-05-14,Kepler
1409,Kepler-123,b,Transit,2,17.23236600,0.00005600,-0.00005600,0,0.135000,,,0,,,,,,,,,,,,,,0.262,0.051,-0.051,0,,,,,0,1,0,1,19h47m59.67s,296.998621,+42d46m55.0s,42.781956,,,,,14.061,,0,Kepler-band,,,,6089.00,121.00,-121.00,0,1.03,,,0,1.26,0.24,-0.24,0,2014-05-14,Kepler
1028,K2-80,b,Transit,3,19.09180000,0.00640000,-0.00640000,0,0.135000,0.004000,-0.004000,0,,,,,,,,,,,,,,0.179,0.027,-0.027,0,,,,,0,0,1,0,03h56m09.00s,59.037487,+13d33m33.4s,13.559289,,,,,12.626,0.090,0,V (Johnson),,,,5441.00,249.00,-249.00,0,0.90,0.08,-0.08,0,0.87,0.10,-0.10,0,2016-07-18,K2
986,K2-48,b,Transit,1,20.50650000,0.00350000,-0.00350000,0,0.134400,0.001200,-0.001200,0,,,,,,,,,,,,,,0.200,0.021,-0.021,0,,,,,0,0,1,0,11h44m29.65s,176.123550,+03d16m20.7s,3.272425,,,,,14.277,0.030,0,V (Johnson),,,,4899.00,78.00,-78.00,0,0.77,0.02,-0.02,0,0.73,0.02,-0.02,0,2016-07-18,K2
2615,Kepler-400,c,Transit,2,17.34082400,0.00010000,-0.00010000,0,0.134000,,,0,,,,,,,,,,,,,,0.133,0.025,-0.025,0,,,,,0,1,0,1,19h23m46.68s,290.944481,+40d28m48.1s,40.480035,,,,,13.642,,0,Kepler-band,,,,5886.00,100.00,-100.00,0,,,,,1.15,0.21,-0.21,0,2014-05-14,Kepler
2469,Kepler-340,b,Transit,2,14.84438700,0.00047300,-0.00047300,0,0.134000,,,0,,,,,,,,,,,,,,0.226,0.054,-0.054,0,,,,,0,1,0,1,19h43m44.03s,295.933477,+40d18m02.1s,40.300570,,,,,12.345,,0,Kepler-band,,,,6620.00,376.00,-376.00,0,2.11,,,0,1.85,0.42,-0.42,0,2014-05-14,Kepler
3720,tau Cet,g,Radial Velocity,4,20.00000000,0.02000000,-0.01000000,0,0.133000,0.001000,-0.002000,0,0.060000,0.130000,-0.060000,0,,,,0,0.00551,0.00079,-0.00126,0,Msini,,,,0,,,,0,0,0,0,0,01h44m04.08s,26.017012,-15d56m14.9s,-15.937480,3.65,0.01,-0.01,0,3.500,,0,V (Johnson),,,,,,,0,0.78,0.01,-0.01,0,,,,0,2017-08-17,Multiple Observatories
2097,Kepler-212,b,Transit,2,16.25758200,0.00037800,-0.00037800,0,0.133000,,,0,,,,,,,,,,,,,,0.097,0.019,-0.019,0,,,,,0,1,0,1,19h10m29.00s,287.620834,+43d08m30.0s,43.141678,,,,,13.178,,0,Kepler-band,,,,5852.00,100.00,-100.00,0,1.16,,,0,1.46,0.27,-0.27,0,2014-05-14,Kepler
1579,Kepler-136,c,Transit,2,16.39923500,0.00005100,-0.00005100,0,0.133000,,,0,,,,,,,,,,,,,,0.178,0.033,-0.033,0,,,,,0,1,0,1,19h45m52.16s,296.467314,+42d35m55.6s,42.598771,,,,,12.459,,0,Kepler-band,,,,6165.00,100.00,-100.00,0,1.20,,,0,1.35,0.25,-0.25,0,2014-05-14,Kepler
612,HD 40307,d,Radial Velocity,5,20.43200000,0.02200000,-0.02400000,0,0.132100,0.006600,-0.006600,0,0.070000,0.110000,-0.070000,0,,,,,0.02990,0.00530,-0.00470,0,Msini,,,,,,,,,0,0,0,0,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.83,0.09,-0.09,0,7.170,,0,V (Johnson),,,,4956.00,50.00,-50.00,0,0.77,0.05,-0.05,0,,,,,2014-05-14,La Silla Observatory
2282,Kepler-275,c,Transit,3,16.08813400,0.00016400,-0.00016400,0,0.132000,,,0,,,,,,,,,,,,,,0.302,0.057,-0.057,0,,,,,0,1,0,1,19h29m55.13s,292.479713,+38d30m53.7s,38.514927,,,,,15.319,,0,Kepler-band,,,,6165.00,100.00,-100.00,0,1.24,,,0,1.38,0.26,-0.26,0,2014-05-14,Kepler
2169,Kepler-236,c,Transit,2,23.96812700,0.00017400,-0.00017400,0,0.132000,,,0,,,,,,,,,,,,,,0.178,0.015,-0.015,0,,,,,0,1,0,1,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,,,,,15.414,,0,Kepler-band,,,,3750.00,150.00,-150.00,0,0.56,,,0,0.51,0.02,-0.02,0,2014-05-14,Kepler
2089,Kepler-208,e,Transit,4,16.25945800,0.00017600,-0.00017600,0,0.132000,,,0,,,,,,,,,,,,,,0.132,0.025,-0.025,0,,,,,0,1,0,1,19h35m33.65s,293.890206,+42d31m40.8s,42.528008,,,,,13.749,,0,Kepler-band,,,,6092.00,100.00,-100.00,0,1.03,,,0,1.31,0.24,-0.24,0,2014-05-14,Kepler
2056,Kepler-198,b,Transit,3,17.79003700,0.00003500,-0.00003500,0,0.131000,,,0,,,,,,,,,,,,,,0.252,0.037,-0.037,0,,,,,0,1,0,1,19h22m41.55s,290.673130,+38d41m27.6s,38.691011,,,,,13.597,,0,Kepler-band,,,,5574.00,100.00,-100.00,0,0.93,,,0,0.94,0.14,-0.14,0,2014-05-14,Kepler
2046,Kepler-194,c,Transit,3,17.30803200,0.00007900,-0.00007900,0,0.131000,,,0,,,,,,,,,,,,,,0.231,0.121,-0.121,0,,,,,0,1,0,1,19h27m53.15s,291.971445,+47d51m51.0s,47.864174,,,,,14.915,,0,Kepler-band,,,,6089.00,200.00,-200.00,0,,,,,1.02,0.54,-0.54,0,2014-05-14,Kepler
1979,Kepler-170,c,Transit,2,16.66586300,0.00005300,-0.00005300,0,0.131000,,,0,,,,,,,,,,,,,,0.255,0.015,-0.015,0,,,,,0,1,0,1,18h58m05.09s,284.521193,+41d37m46.6s,41.629604,,,,,14.387,,0,Kepler-band,,,,5679.00,57.00,-57.00,0,,,,,1.03,0.06,-0.06,0,2014-05-14,Kepler
1487,Kepler-129,b,Transit,2,15.79186000,0.00006800,-0.00006800,0,0.131000,,,0,,,,,,,,,,,,,,0.211,0.019,-0.019,0,,,,,0,1,0,1,19h01m14.71s,285.311284,+47d50m54.9s,47.848595,,,,,11.696,,0,Kepler-band,,,,5770.00,83.00,-83.00,0,1.18,,,0,1.64,0.05,-0.05,0,2014-05-14,Kepler
606,HD 38529,b,Radial Velocity,2,14.30980000,0.00050000,-0.00050000,0,0.131000,0.002000,-0.002000,0,0.257000,0.015000,-0.015000,0,,,,,0.83900,0.03000,-0.03000,0,Msini,,,,,,,,,0,0,0,0,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.40,1.70,-1.70,0,5.950,,0,V (Johnson),,,,5697.00,44.00,-44.00,0,1.48,0.05,-0.05,0,,,,,2014-05-14,Multiple Observatories
98,EPIC 211822797,b,Transit,1,21.16986100,0.00172500,-0.00169500,0,0.131000,0.004000,-0.005000,0,0.060000,0.135970,-0.048705,0,89.730,0.190,-0.220,0,,,,0,,0.177,0.010,-0.010,0,,,,0,0,0,1,1,08h41m38.49s,130.410370,+17d38m24.0s,17.640005,,,,,15.256,0.010,0,V (Johnson),,,,4148.21,82.41,-80.21,0,0.66,0.07,-0.07,0,0.57,0.03,-0.03,0,2017-10-26,K2
233,HATS-17,b,Transit,1,16.25461100,0.00007300,-0.00007300,0,0.130800,0.001200,-0.001200,0,0.029000,0.022000,-0.022000,0,89.080,0.260,-0.260,0,1.33800,0.06500,-0.06500,0,Mass,0.777,0.056,-0.056,0,3.50000,0.85000,-0.51000,0,0,0,0,0,12h48m45.55s,192.189799,-47d36m49.3s,-47.613693,339.00,22.00,-16.00,0,12.390,0.100,0,V (Johnson),,,,5846.00,78.00,-78.00,0,1.13,0.03,-0.03,0,1.09,0.07,-0.05,0,2016-09-15,HATSouth
472,HD 190360,c,Radial Velocity,2,17.11100000,0.00480000,-0.00480000,0,0.130400,0.007500,-0.007500,0,0.237000,0.082000,-0.082000,0,,,,,0.06000,0.00760,-0.00760,0,Msini,,,,,,,,,0,0,0,0,20h03m37.40s,300.905853,+29d53m48.5s,29.896805,15.89,0.16,-0.16,0,5.730,,0,V (Johnson),5.539,,0,5552.00,11.00,-11.00,0,0.99,0.08,-0.08,0,1.14,0.02,-0.02,0,2014-08-21,W. M. Keck Observatory
3685,XO-2 S,b,Radial Velocity,2,18.15700000,0.03400000,-0.03400000,0,0.130000,0.000000,0.000000,0,0.180000,0.040000,-0.040000,0,,,,0,0.26000,0.04000,-0.04000,0,Mass,,,,0,,,,0,0,0,0,0,07h48m07.48s,117.031174,+50d13m03.2s,50.217556,148.00,2.80,-2.90,0,11.086,0.025,0,V (Johnson),10.851,,0,5399.00,55.00,-55.00,0,0.98,0.20,-0.20,0,1.00,0.04,-0.04,0,2018-04-26,Roque de los Muchachos Observatory
3227,Kepler-85,d,Transit,4,17.91323000,0.00026600,-0.00026600,0,0.130000,,,0,,,,,,,,,,,,,,0.107,0.017,-0.017,0,,,,,0,1,0,0,19h23m53.62s,290.973429,+45d17m25.1s,45.290318,,,,,14.779,,0,Kepler-band,,,,5436.00,100.00,-100.00,0,0.92,0.40,-0.27,0,0.89,0.13,-0.13,0,2014-05-14,Kepler
2410,Kepler-32,d,Transit,5,22.78020000,0.00050000,-0.00050000,0,0.130000,,,0,,,,,,,,,,,,,,0.241,0.018,-0.018,0,,,,,0,1,0,1,19h51m22.18s,297.842398,+46d34m27.4s,46.574281,303.00,14.00,-14.00,0,16.452,,0,V (Johnson),,,,3900.00,200.00,-200.00,0,0.58,0.05,-0.05,0,0.53,0.04,-0.04,0,2016-03-24,Kepler
2222,Kepler-253,d,Transit,3,18.11986900,0.00006600,-0.00006600,0,0.130000,,,0,,,,,,,,,,,,,,0.283,0.116,-0.116,0,,,,,0,1,0,1,19h27m22.08s,291.841992,+44d51m29.1s,44.858089,,,,,15.532,,0,Kepler-band,,,,5208.00,200.00,-200.00,0,,,,,0.79,0.32,-0.32,0,2014-05-14,Kepler
2126,Kepler-221,e,Transit,4,18.36991700,0.00002900,-0.00002900,0,0.130000,,,0,,,,,,,,,,,,,,0.235,0.022,-0.022,0,,,,,1,1,0,1,19h46m37.14s,296.654765,+46d50m07.0s,46.835270,,,,,13.749,,0,Kepler-band,,,,5243.00,100.00,-100.00,0,0.72,,,0,0.82,0.07,-0.07,0,2014-05-14,Kepler
2101,Kepler-214,b,Transit,2,15.66054400,0.00008000,-0.00008000,0,0.130000,,,0,,,,,,,,,,,,,,0.233,0.044,-0.044,0,,,,,0,1,0,1,18h59m01.16s,284.754851,+44d57m21.7s,44.956032,,,,,13.949,,0,Kepler-band,,,,6169.00,100.00,-100.00,0,,,,,1.35,0.25,-0.25,0,2014-05-14,Kepler
1592,Kepler-137,c,Transit,2,18.73575300,0.00003500,-0.00003500,0,0.130000,,,0,,,,,,,,,,,,,,0.168,0.012,-0.012,0,,,,,0,1,0,1,18h48m32.53s,282.135534,+43d02m20.8s,43.039101,,,,,12.990,,0,Kepler-band,,,,5187.00,100.00,-100.00,0,,,,,0.80,0.06,-0.06,0,2014-05-14,Kepler
